pref,url,addr,lat,lng,pref_id
北海道,http://www.pref.hokkaido.lg.jp/,北海道札幌市中央区北3条西6丁目,43.064301,141.346874,1
青森県,http://www.pref.aomori.lg.jp/,青森県青森市長島一丁目1-1,40.824622,140.740598,2
岩手県,http://www.pref.iwate.jp/,岩手県盛岡市内丸10番1号,39.7036,141.152709,3
宮城県,http://www.pref.miyagi.jp/,宮城県仙台市青葉区本町3丁目8番1号,38.268812,140.872082,4
秋田県,http://www.pref.akita.lg.jp/,秋田県秋田市山王四丁目1-1,39.718611,140.102401,5
山形県,http://www.pref.yamagata.jp/,山形県山形市松波二丁目8-1,38.240422,140.363592,6
福島県,http://www.pref.fukushima.jp/,福島県福島市杉妻町2-16,37.750301,140.467522,7
茨城県,http://www.pref.ibaraki.jp/,茨城県水戸市笠原町978番6,36.341793,140.446802,8
栃木県,http://www.pref.tochigi.jp/,栃木県宇都宮市塙田1-1-20,36.566672,139.883093,9
群馬県,http://www.pref.gunma.jp/,群馬県前橋市大手町1-1-1,36.390698,139.060451,10
埼玉県,http://www.pref.saitama.lg.jp/,埼玉県さいたま市浦和区高砂3-15-1,35.857431,139.648901,11
千葉県,http://www.pref.chiba.jp/,千葉県千葉市中央区市場町1-1,35.605045,140.123325,12
東京都,http://www.metro.tokyo.jp/,東京都新宿区西新宿2-8-1,35.689753,139.691731,13
神奈川県,http://www.pref.kanagawa.jp/,神奈川県横浜市中区日本大通1,35.447495,139.6424,14
新潟県,http://www.pref.niigata.jp/,新潟県新潟市中央区新光町4番地1,37.902419,139.023225,15
富山県,http://www.pref.toyama.jp/,富山県富山市新総曲輪1番7号,36.695275,137.211342,16
石川県,http://www.pref.ishikawa.jp/,石川県金沢市鞍月1丁目1番地,36.59473,136.625582,17
福井県,http://www.pref.fukui.jp/,福井県福井市大手3-17-1,36.065219,136.221682,18
山梨県,http://www.pref.yamanashi.jp/pref/,山梨県甲府市丸の内1-6-1,35.664161,138.568459,19
長野県,http://www.pref.nagano.jp/,長野県長野市大字南長野字幅下692-2,36.651296,138.181239,20
岐阜県,http://www.pref.gifu.lg.jp/,岐阜県岐阜市薮田南2-1-1,35.391228,136.722311,21
静岡県,http://www.pref.shizuoka.jp/,静岡県静岡市葵区追手町9番6号,34.976944,138.383009,22
愛知県,http://www.pref.aichi.jp/,愛知県名古屋市中区三の丸三丁目1番2号,35.180344,136.906632,23
三重県,http://www.pref.mie.jp/,三重県津市広明町13,34.730272,136.508598,24
滋賀県,http://www.pref.shiga.jp/,滋賀県大津市京町四丁目1番1号,35.004528,135.868607,25
京都府,http://www.pref.kyoto.jp/,京都府京都市上京区下立売通新町西入薮ノ内町,35.021393,135.755439,26
大阪府,http://www.pref.osaka.jp/,大阪府大阪市中央区大手前2丁目,34.686555,135.519474,27
兵庫県,http://web.pref.hyogo.jp/,兵庫県神戸市中央区下山手通5丁目10番1号,34.691287,135.183061,28
奈良県,http://www.pref.nara.jp/,奈良県奈良市登大路町30,34.685326,135.832751,29
和歌山県,http://www.pref.wakayama.lg.jp/,和歌山県和歌山市小松原通1-1,34.226041,135.167504,30
鳥取県,http://www.pref.tottori.lg.jp/,鳥取県鳥取市東町1丁目220,35.503867,134.237716,31
島根県,http://www.pref.shimane.lg.jp/,島根県松江市殿町1番地,35.472324,133.05052,32
岡山県,http://www.pref.okayama.jp/,岡山県岡山市内山下2丁目4番6号,34.661759,133.934399,33
広島県,http://www.pref.hiroshima.lg.jp/,広島県広島市中区基町10-52,34.396603,132.459621,34
山口県,http://www.pref.yamaguchi.jp/,山口県山口市滝町1番1号,34.18613,131.470497,35
徳島県,http://www.pref.tokushima.jp/,徳島県徳島市万代町1丁目1番地,34.065756,134.559297,36
香川県,http://www.pref.kagawa.jp/,香川県高松市番町4-1-10,34.340045,134.043369,37
愛媛県,http://www.pref.ehime.jp/,愛媛県松山市一番町4丁目4-2,33.841669,132.765371,38
高知県,http://www.pref.kochi.jp/,高知県高知市丸ノ内1丁目2番20号,33.5597,133.531096,39
福岡県,http://www.pref.fukuoka.lg.jp/,福岡県福岡市博多区東公園7番7号,33.606781,130.418307,40
佐賀県,http://www.pref.saga.lg.jp/web/,佐賀県佐賀市城内1丁目1-59,33.24957,130.299804,41
長崎県,http://www.pref.nagasaki.jp/,長崎県長崎市江戸町2-13,32.744814,129.8737,42
熊本県,http://www.pref.kumamoto.jp/,熊本県熊本市水前寺6丁目18番1号,32.789816,130.74169,43
大分県,http://www.pref.oita.jp/,大分県大分市大手町3丁目1番1号,33.238205,131.612625,44
宮崎県,http://www.pref.miyazaki.lg.jp/,宮崎県宮崎市橘通東二丁目10番1号,31.911058,131.423883,45
鹿児島県,http://www.pref.kagoshima.jp/,鹿児島県鹿児島市鴨池新町10番1号,31.560166,130.557994,46
沖縄県,http://www.pref.okinawa.jp/,沖縄県那覇市泉崎1-2-2,26.212418,127.680895,47
